date,ticker,price
2024-01-01,AAPL,148.5611813612925
2024-01-02,AAPL,147.40279639982018
2024-01-03,AAPL,146.70176329183397
2024-01-04,AAPL,147.2851219485909
2024-01-05,AAPL,147.53671482376654
2024-01-06,AAPL,147.4523101872088
2024-01-07,AAPL,146.2499055664809
2024-01-08,AAPL,146.18827237749764
2024-01-09,AAPL,146.81247445794537
2024-01-10,AAPL,145.59248532339154
2024-01-11,AAPL,146.5701299318725
2024-01-12,AAPL,146.22152461560466
2024-01-13,AAPL,145.35325493245
2024-01-14,AAPL,144.5830618957587
2024-01-15,AAPL,144.9201199130311
2024-01-16,AAPL,142.99226659572733
2024-01-17,AAPL,141.2193315820641
2024-01-18,AAPL,139.75879288129113
2024-01-19,AAPL,139.6070988064238
2024-01-20,AAPL,139.005304532723
