date,ticker,price
2024-01-01,AAPL,149.27561375142773
2024-01-02,AAPL,148.29884080778132
2024-01-03,AAPL,148.2163435211477
2024-01-04,AAPL,149.58905063731788
2024-01-05,AAPL,148.90462755497654
2024-01-06,AAPL,148.67149058466777
2024-01-07,AAPL,149.72472472618833
2024-01-08,AAPL,148.70890061615103
2024-01-09,AAPL,149.40048401952546
2024-01-10,AAPL,147.47775004213167
2024-01-11,AAPL,147.47375726632296
2024-01-12,AAPL,146.2348476819531
2024-01-13,AAPL,146.20535831962113
2024-01-14,AAPL,147.42558850027265
2024-01-15,AAPL,148.2015908783593
2024-01-16,AAPL,148.66864762403785
2024-01-17,AAPL,147.99686710806867
2024-01-18,AAPL,148.42499876363738
2024-01-19,AAPL,148.45375894731418
2024-01-20,AAPL,148.8147911255161
