date,ticker,price
2024-01-01,AAPL,149.9987673684614
2024-01-02,AAPL,150.32937849861744
2024-01-03,AAPL,149.22548437845546
2024-01-04,AAPL,149.0041038592549
2024-01-05,AAPL,149.5608126906919
2024-01-06,AAPL,149.62441372987894
2024-01-07,AAPL,148.87271342135253
2024-01-08,AAPL,148.74321243066467
2024-01-09,AAPL,148.84505445169313
2024-01-10,AAPL,148.41774528205465
2024-01-11,AAPL,150.74007061335223
2024-01-12,AAPL,150.31335399504658
2024-01-13,AAPL,148.45022748930256
2024-01-14,AAPL,149.15469159828734
2024-01-15,AAPL,149.78723839250577
2024-01-16,AAPL,149.91209233861187
2024-01-17,AAPL,151.9144117572391
2024-01-18,AAPL,152.6683222330557
2024-01-19,AAPL,152.9167646642462
2024-01-20,AAPL,154.1809980986365
