date,ticker,price
2024-01-01,AAPL,150.0121844147168
2024-01-02,AAPL,150.0323140888978
2024-01-03,AAPL,149.21500609763714
2024-01-04,AAPL,148.62050919401756
2024-01-05,AAPL,147.46463144880784
2024-01-06,AAPL,146.98344487705677
2024-01-07,AAPL,144.86289901008024
2024-01-08,AAPL,144.29332315119655
2024-01-09,AAPL,143.22987666607133
2024-01-10,AAPL,143.54347215851791
2024-01-11,AAPL,142.87708823606224
2024-01-12,AAPL,142.2444076306835
2024-01-13,AAPL,142.96369259902698
2024-01-14,AAPL,143.8993785727344
2024-01-15,AAPL,142.90047799242623
2024-01-16,AAPL,143.74000342924955
2024-01-17,AAPL,143.36244288079178
2024-01-18,AAPL,143.89941094170035
2024-01-19,AAPL,144.6884015348365
2024-01-20,AAPL,145.40779311205625
